Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
122,25,2,170,8,Some Random Commen with Id 122
123,25,2,109,8,Some Random Commen with Id 123
124,25,2,50,3,Some Random Commen with Id 124
125,25,2,94,7,Some Random Commen with Id 125
126,26,3,137,1,Some Random Commen with Id 126
127,26,3,29,6,Some Random Commen with Id 127
128,26,3,198,3,Some Random Commen with Id 128
129,26,3,26,5,Some Random Commen with Id 129
130,26,3,71,1,Some Random Commen with Id 130
131,26,3,178,3,Some Random Commen with Id 131
132,28,1,60,2,Some Random Commen with Id 132
133,28,1,85,6,Some Random Commen with Id 133
134,28,1,26,8,Some Random Commen with Id 134
135,28,1,177,1,Some Random Commen with Id 135
136,29,4,42,7,Some Random Commen with Id 136
137,29,4,188,0,Some Random Commen with Id 137
138,29,4,37,3,Some Random Commen with Id 138
139,29,4,80,9,Some Random Commen with Id 139
140,29,4,26,7,Some Random Commen with Id 140
141,29,4,169,3,Some Random Commen with Id 141
142,29,4,28,5,Some Random Commen with Id 142
143,29,4,108,7,Some Random Commen with Id 143
144,29,4,14,3,Some Random Commen with Id 144
145,31,7,198,8,Some Random Commen with Id 145
146,31,7,106,4,Some Random Commen with Id 146
147,31,7,83,7,Some Random Commen with Id 147
148,31,7,152,1,Some Random Commen with Id 148
149,31,7,31,2,Some Random Commen with Id 149
150,31,7,171,7,Some Random Commen with Id 150
151,31,7,111,1,Some Random Commen with Id 151
152,31,7,8,1,Some Random Commen with Id 152
153,33,9,137,0,Some Random Commen with Id 153
154,33,9,153,8,Some Random Commen with Id 154
155,33,9,90,0,Some Random Commen with Id 155
156,33,9,13,7,Some Random Commen with Id 156
157,34,4,6,5,Some Random Commen with Id 157
158,34,4,140,1,Some Random Commen with Id 158
159,34,4,92,2,Some Random Commen with Id 159
160,34,4,28,9,Some Random Commen with Id 160
161,34,4,20,9,Some Random Commen with Id 161
162,35,2,185,4,Some Random Commen with Id 162
163,35,2,98,9,Some Random Commen with Id 163
164,35,2,97,0,Some Random Commen with Id 164
165,36,6,38,1,Some Random Commen with Id 165
166,36,6,163,6,Some Random Commen with Id 166
167,36,6,117,7,Some Random Commen with Id 167
168,36,6,14,5,Some Random Commen with Id 168
169,36,6,43,2,Some Random Commen with Id 169
170,36,6,155,0,Some Random Commen with Id 170
171,36,6,195,6,Some Random Commen with Id 171
172,36,6,80,1,Some Random Commen with Id 172
173,37,5,96,1,Some Random Commen with Id 173
174,37,5,49,2,Some Random Commen with Id 174
175,38,9,64,0,Some Random Commen with Id 175
176,38,9,9,3,Some Random Commen with Id 176
177,39,5,121,4,Some Random Commen with Id 177
178,39,5,189,8,Some Random Commen with Id 178
179,39,5,74,6,Some Random Commen with Id 179
180,39,5,59,0,Some Random Commen with Id 180
181,39,5,20,9,Some Random Commen with Id 181
182,39,5,108,9,Some Random Commen with Id 182
183,39,5,134,7,Some Random Commen with Id 183
184,39,5,100,7,Some Random Commen with Id 184
185,39,5,199,5,Some Random Commen with Id 185
